********   ARAGON PHOTONICS LABS   ********

Component Analyzer
43588 Points
Smooth 10e-3 GHz
Mode Pol.: Lin 0
#Average 0
Lock Trace Off
Hold Trace None
12/5/2023 11:13:27 PM

Frequency(GHz),P(dBm)
191572.841587811,-35.7952119206294
191572.942070918,-35.7947383230512
191573.042554131,-35.7857412234866
191573.143037449,-35.7800618163375
191573.243520872,-35.7757981826993
191573.344004401,-35.7734339587752
191573.444488035,-35.7658488670614
191573.544971775,-35.7554359912067
191573.64545562,-35.7412217840966
191573.745939571,-35.7374367660312
191573.846423627,-35.7326957685864
191573.946907788,-35.7284346427925
191574.047392055,-35.7232263211012
191574.147876427,-35.7142241967629
191574.248360905,-35.7128034030238
191574.348845488,-35.7099580510887
191574.449330176,-35.7061717772144
191574.54981497,-35.7056944148625
191574.65029987,-35.7042761306269
191574.750784874,-35.7056944148638
191574.851269984,-35.7061680128075
191574.9517552,-35.7061692676108
191575.052240521,-35.7071152086888
191575.152725947,-35.711853697587
191575.253211479,-35.7227439396197
191575.353697116,-35.7379015802421
191575.454182859,-35.747377300522
191575.554668707,-35.7563794222819
191575.65515466,-35.7691715796787
191575.755640719,-35.7819587164604
191575.856126883,-35.7980685635759
191575.956613153,-35.8165363575441
191576.057099528,-35.8245962981015
191576.157586008,-35.8411684434459
191576.258072594,-35.8624853429485
191576.358559286,-35.8748013815461
191576.459046082,-35.8932641438298
191576.559532985,-35.9160018246369
191576.660019992,-35.9373061619968
191576.760507105,-35.951519089598
191576.860994323,-35.9680887065255
191576.961481647,-35.98325133328
191577.061969077,-36.0002983064695
191577.162456611,-36.0145112258869
191577.262944251,-36.0206704916675
191577.363431997,-36.0353519858344
191577.463919848,-36.0490950684851
191577.564407804,-36.0599827681609
191577.664895866,-36.0666206468658
191577.765384033,-36.0789278791006
191577.865872305,-36.0855619922975
191577.966360683,-36.0865079301801
191578.066849167,-36.1002447323659
191578.167337756,-36.1064065027657
191578.26782645,-36.1073511856902
191578.36831525,-36.111619825596
191578.468804155,-36.1229798603131
191578.569293165,-36.1291403746143
191578.669782281,-36.1329178506621
191578.770271502,-36.1277120575355
191578.870760829,-36.1296014229818
191578.971250261,-36.1423822439828
191579.071739799,-36.1499635453162
191579.172229442,-36.1532762080136
191579.27271919,-36.1589606149972
191579.373209044,-36.1641676613502
191579.473699004,-36.1736408353223
191579.574189068,-36.1802774521451
191579.674679238,-36.1973256486581
191579.775169514,-36.2015917753772
191579.875659895,-36.2148512024581
191579.976150381,-36.2224350080743
191580.076640973,-36.2342723907433
191580.17713167,-36.245172619024
191580.277622473,-36.2612748685529
191580.378113381,-36.2764336889375
191580.478604395,-36.2930095289605
191580.579095514,-36.3157383408461
191580.679586738,-36.331843088778
191580.780078068,-36.3455735845958
191580.880569503,-36.3559964415557
191580.981061044,-36.3730395896859
191581.08155269,-36.3844096337203
191581.182044441,-36.3995609070148
191581.282536298,-36.4123479682016
191581.38302826,-36.4218198643079
191581.483520328,-36.4331836288969
191581.584012501,-36.4436039671357
191581.68450478,-36.4601722508383
191581.784997164,-36.4701215012204
191581.885489653,-36.4753285315861
191581.985982248,-36.4762769754056
191582.086474948,-36.4805393259944
191582.186967754,-36.4862224598265
191582.287460665,-36.4833808929542
191582.387953682,-36.481955090386
191582.488446804,-36.4776965041832
191582.588940031,-36.4833758738551
191582.689433364,-36.4781700987001
191582.789926802,-36.479589627449
191582.890420346,-36.473905238456
191582.990913995,-36.4668038297675
191583.09140775,-36.4535331427906
191583.19190161,-36.4454883076371
191583.292395575,-36.4326962316309
191583.392889646,-36.4132826100985
191583.493383822,-36.4028559947577
191583.593878104,-36.3914897171479
191583.694372491,-36.3791749934883
191583.794866983,-36.3654407379575
191583.895361581,-36.3540769656578
191583.995856285,-36.3412836231074
191584.096351094,-36.324716574454
191584.196846008,-36.3190284122565
191584.297341028,-36.3114571615828
191584.397836153,-36.3019865098368
191584.498331383,-36.2877824127219
191584.598826719,-36.2773670773982
191584.699322161,-36.271207826639
191584.799817707,-36.2716914603313
191584.90031336,-36.2674240817444
191585.000809117,-36.2645900372921
191585.10130498,-36.2702706738575
191585.201800949,-36.2650749257343
191585.302297023,-36.2660158429322
191585.402793202,-36.2669655434959
191585.503289487,-36.2598641201127
191585.603785877,-36.2565439321791
191585.704282373,-36.2541772091237
191585.804778974,-36.2546457856141
191585.905275681,-36.251334380895
191586.005772493,-36.2465959154151
191586.10626941,-36.2404366628216
191586.206766433,-36.2451726190484
191586.307263561,-36.2413800897641
191586.407760795,-36.2399618124129
191586.508258134,-36.2375913246617
191586.608755579,-36.2323867915092
191586.709253129,-36.2281219208442
191586.809750784,-36.2167568784318
191586.910248545,-36.2120221756762
191587.010746412,-36.2011294725436
191587.111244383,-36.1959236827816
191587.21174246,-36.1945003857194
191587.312240643,-36.1897707010261
191587.412738931,-36.1783981257953
191587.513237325,-36.1760314009569
191587.613735824,-36.1679840341958
191587.714234428,-36.158037263722
191587.814733138,-36.1528277075
191587.915231953,-36.1405091908682
191588.015730874,-36.1343549510952
191588.1162299,-36.1296102064277
191588.216729031,-36.1229861341893
191588.317228268,-36.1187149851895
191588.417727611,-36.1135079365838
191588.518227058,-36.1139765136824
191588.618726612,-36.1135016626969
191588.71922627,-36.1163432399067
191588.819726035,-36.1172904322927
191588.920225904,-36.1215603265878
191589.020725879,-36.127713312314
191589.12122596,-36.1438218538747
191589.221726146,-36.1476093676108
191589.322226437,-36.160873820636
191589.422726834,-36.172717484169
191589.523227336,-36.183610190269
191589.623727943,-36.196880912567
191589.724228657,-36.2129768958006
191589.824729475,-36.2271910414292
191589.925230399,-36.2447090615592
191590.025731428,-36.2527652057457
191590.126232563,-36.267446667578
191590.226733803,-36.2773921727912
191590.327235149,-36.2849684451577
191590.4277366,-36.2991712879417
191590.528238157,-36.3114872761365
191590.628739819,-36.3233196294537
191590.729241586,-36.3351620195214
191590.829743459,-36.3408413973779
191590.930245438,-36.3498384503834
191591.030747521,-36.3488925148991
191591.131249711,-36.3522039164382
191591.231752005,-36.3569423770027
191591.332254405,-36.3626192440798
191591.432756911,-36.3654683430515
191591.533259522,-36.3649909836895
191591.633762238,-36.3597839475124
191591.73426506,-36.3597814379716
191591.834767988,-36.3550454870819
191591.93527102,-36.3564662723727
191592.035774158,-36.357414717326
191592.136277402,-36.3512642548273
191592.236780751,-36.347471729509
191592.337284206,-36.3417948615601
191592.437787766,-36.334211064841
191592.538291431,-36.3275807318517
191592.638795202,-36.3233146103878
191592.739299078,-36.3204680197612
191592.83980306,-36.3152622360589
191592.940307147,-36.3128892405043
191593.04081134,-36.3114709641497
191593.141315638,-36.3090954589481
191593.241820041,-36.3124131356535
191593.34232455,-36.316672983709
191593.442829165,-36.324724103151
191593.543333884,-36.3266197388805
191593.64383871,-36.3308795863384
191593.74434364,-36.3441440157669
191593.844848677,-36.3507730928907
191593.945353818,-36.3611997136308
191594.045859065,-36.3701992743447
191594.146364418,-36.3801410051267
191594.246869876,-36.3924557286526
191594.347375439,-36.4009791821292
191594.447881108,-36.4118756281441
191594.548386882,-36.4275042563127
191594.648892762,-36.4417183717949
191594.749398747,-36.4488185275429
191594.849904838,-36.4587677790607
191594.950411034,-36.4653968485374
191595.050917335,-36.4701315393847
191595.151423742,-36.4810267229604
191595.251930255,-36.4947546885755
191595.352436872,-36.5056511241732
191595.452943596,-36.5042215576406
191595.553450425,-36.5080153317268
191595.653957359,-36.5070631239066
191595.754464398,-36.507537973048
191595.854971543,-36.5141682939715
191595.955478794,-36.5099021805371
191596.05598615,-36.5136946996346
191596.156493611,-36.5141632748805
191596.257001178,-36.5056473598619
191596.357508851,-36.4933263766364
191596.458016628,-36.4919193957865
191596.558524512,-36.4862350075201
191596.6590325,-36.4810267229578
191596.759540594,-36.4734504654719
191596.860048794,-36.4616106014098
191596.960557099,-36.4493046698539
191597.06106551,-36.4398277573325
191597.161574025,-36.4270432092315
191597.262082647,-36.4194606737551
191597.362591374,-36.4095151825825
191597.463100206,-36.4033571946853
191597.563609144,-36.3891443284784
191597.664118187,-36.3834611890531
191597.764627335,-36.3735119299686
191597.86513659,-36.3640400292665
191597.965645949,-36.3607198447119
191598.066155414,-36.3602475044126
191598.166664985,-36.3583543788688
191598.26717466,-36.3545643633478
191598.367684442,-36.3540932777932
191598.468194329,-36.3521988973572
191598.568704321,-36.3450987347214
191598.669214418,-36.3498284122101
191598.769724622,-36.34415028965
191598.87023493,-36.3498309217595
191598.970745344,-36.3536221922294
191599.071255864,-36.354571891982
191599.171766489,-36.3574122077828
191599.272277219,-36.3588392668894
191599.372788055,-36.3593065881202
191599.473298996,-36.3649934932294
191599.573810043,-36.3711452096474
191599.674321195,-36.3763585190888
191599.774832453,-36.372563485162
191599.875343816,-36.3720898901439
191599.975855285,-36.3716150403494
191600.076366859,-36.3616682896232
191600.176878538,-36.3602525235003
191600.277390323,-36.3673501755143
191600.377902214,-36.3626192440808
191600.47841421,-36.3654570501056
191600.578926311,-36.3569373579185
191600.679438518,-36.3526787663237
191600.77995083,-36.3512579809799
191600.880463248,-36.3498434694618
191600.980975771,-36.345108772872
191601.081488399,-36.3413200116247
191601.182001133,-36.3361104646809
191601.282513973,-36.3290103008929
191601.383026918,-36.3228548175807
191601.483539968,-36.3214340318163
191601.584053124,-36.3167030981825
191601.684566386,-36.3124394858086
191601.785079752,-36.3119721643137
191601.885593225,-36.3129130811072
191601.986106802,-36.3100727640449
191602.086620485,-36.3081758732577
191602.187134274,-36.3058041323381
191602.287648168,-36.3062764729025
191602.388162168,-36.3015342456665
191602.488676273,-36.3020103505533
191602.589190483,-36.3029512673975
191602.689704799,-36.3067463039269
191602.790219221,-36.3100551973115
191602.890733747,-36.3119545976165
191602.99124838,-36.3199994435822
191603.091763117,-36.3233146103799
191603.192277961,-36.3233171199216
191603.292792909,-36.328048053214
191603.393307964,-36.3389457619302
191603.493823123,-36.3465182653749
191603.594338388,-36.3474717295053
191603.694853759,-36.3512592357492
191603.795369235,-36.3545781658265
191603.895884816,-36.3555253560267
191603.996400503,-36.358365671807
191604.096916296,-36.3616846016476
191604.197432193,-36.3621556871808
191604.297948197,-36.3569499056158
191604.398464305,-36.3550580347647
191604.49898052,-36.3550542704674
191604.599496839,-36.3488950244417
191604.700013264,-36.3375287407014
191604.800529795,-36.3318405792727
191604.901046431,-36.3323116649383
191605.001563173,-36.3256850961384
191605.10208002,-36.3204692745306
191605.202596972,-36.3190472339604
191605.30311403,-36.3233171199227
191605.403631193,-36.3233158651522
191605.504148462,-36.3176352315439
191605.604665837,-36.3162094266233
191605.705183316,-36.3190547625908
191605.805700902,-36.3223674198772
191605.906218592,-36.3233208842292
191606.006736388,-36.3280543270695
191606.10725429,-36.3361092099055
191606.207772297,-36.338003590644
191606.30829041,-36.3470031534344
191606.408808628,-36.3593203905657
191606.509326951,-36.3687885274201
191606.60984538,-36.3796849769314
191606.710363915,-36.3900952826577
191606.810882555,-36.3929418712919
191606.9114013,-36.4071421892724
191607.011920151,-36.4142448570361
191607.112439107,-36.4251337729498
191607.212958169,-36.4469116011691
191607.313477336,-36.4663314899415
191607.413996609,-36.4824274300609
191607.514515987,-36.5013749721509
191607.615035471,-36.5203174914502
191607.71555506,-36.5458953448595
191607.816074754,-36.5539426812589
191607.916594554,-36.5780959793614
191608.01711446,-36.599881301816
191608.117634471,-36.6131394208886
191608.218154587,-36.6282956775282
191608.318674809,-36.6453475612558
191608.419195136,-36.6605038127042
191608.519715569,-36.6804022707479
191608.620236108,-36.6912936659949
191608.720756751,-36.7031372658318
191608.821277501,-36.7182960173931
191608.921798355,-36.7244577493139
191609.022319315,-36.7325025609345
191609.122840381,-36.7438687980005
191609.223361552,-36.7557073720087
191609.323882829,-36.7675459444903
191609.424404211,-36.7651742148645
191609.524925698,-36.7803241728273
191609.625447292,-36.7836380689467
191609.72596899,-36.7878966413126
191609.826490794,-36.8011647716667
191609.927012703,-36.8134731667452
191610.027534718,-36.8229500417217
191610.128056839,-36.8333690820631
191610.228579064,-36.8466284223458
191610.329101396,-36.8589455945776
191610.429623833,-36.8731508613253
191610.530146375,-36.8849969469819
191610.630669023,-36.8996732924104
191610.731191776,-36.9143596735239
191610.831714634,-36.9323524142136
191610.932237598,-36.9460840770568
191611.032760668,-36.9598220115805
191611.133283843,-36.9825544265258
191611.233807124,-37.0024402656621
191611.33433051,-37.0318029527276
191611.434854001,-37.055956123292
191611.535377598,-37.0782086476634
191611.635901301,-37.1037863431297
191611.736425109,-37.1312558857101
191611.836949022,-37.1572933535952
191611.937473041,-37.1842892878417
191612.037997165,-37.2164909458201
191612.138521395,-37.2434918798158
191612.23904573,-37.2756947693497
191612.339570171,-37.3102681060138
191612.440094717,-37.3453125081762
191612.540619369,-37.3708913753028
191612.641144126,-37.4016772095433
191612.741668989,-37.431039754262
191612.842193957,-37.4670363002432
191612.942719031,-37.4968686450412
191613.04324421,-37.5224487174131
191613.143769494,-37.5499156072261
191613.244294885,-37.5840215083274
191613.34482038,-37.6133852382753
191613.445345981,-37.6465351513966
191613.545871688,-37.6796888140536
191613.6463975,-37.7180469060803
191613.746923417,-37.7426772187728
191613.84744944,-37.7791371649783
191613.947975568,-37.8080297397567
191614.048501802,-37.840695940022
191614.149028142,-37.8667494801025
191614.249554586,-37.9070030726565
191614.350081137,-37.945364807478
191614.450607792,-37.983727775948
191614.551134554,-38.0145095901361
191614.65166142,-38.0564765112545
191614.752188393,-38.0998245586137
191614.85271547,-38.1412901734094
191614.953242654,-38.1841744660344
191615.053769942,-38.2336496476741
191615.154297336,-38.2779463078105
191615.254824836,-38.3311949995427
191615.355352441,-38.3764327911989
191615.455880152,-38.4358048339962
191615.556407968,-38.4951843485458
191615.656935889,-38.5540875612433
191615.757463916,-38.6191141319749
191615.857992049,-38.68979783442
191615.958520287,-38.7548267654683
191616.05904863,-38.826450240251
191616.159577079,-38.8975998927539
191616.260105634,-38.9706381072715
191616.360634294,-39.0497958294593
191616.461163059,-39.1270748265199
191616.56169193,-39.2166016658034
191616.662220906,-39.3000025024357
191616.762749988,-39.3796397292927
191616.863279175,-39.4781180030345
191616.963808468,-39.5733101102881
191617.064337866,-39.6703730886953
191617.16486737,-39.7650910854357
191617.265396979,-39.8659233704575
191617.365926694,-39.9606409582696
191617.466456514,-40.0610141336869
191617.56698644,-40.1627906670647
191617.667516471,-40.2754097806944
191617.768046608,-40.3899109043089
191617.86857685,-40.5195015890064
191617.969107198,-40.6514353132338
191618.069637651,-40.7829061514713
191618.17016821,-40.9120092153555
191618.270698874,-41.0453601274394
191618.371229643,-41.1763545313192
191618.471760518,-41.3186508350665
191618.572291499,-41.4501103142602
191618.672822585,-41.59476133939
191618.773353776,-41.7446010194087
191618.873885073,-41.9128111690507
191618.974416476,-42.0716016602837
191619.074947984,-42.2619552698092
191619.175479597,-42.4400593952265
191619.276011316,-42.636543001946
191619.376543141,-42.8353758015266
191619.477075071,-43.0087689742009
191619.577607106,-43.2033567309699
191619.678139247,-43.4149067879837
191619.778671493,-43.6264520723437
191619.879203845,-43.8427064318938
191619.979736303,-44.0547242002987
191620.080268865,-44.3025353934325
191620.180801534,-44.532921182421
191620.281334308,-44.7793164871922
191620.381867187,-45.0299538427749
191620.482400172,-45.2932975089441
191620.582933262,-45.5363864159301
191620.683466458,-45.8006590370541
191620.783999759,-46.0946040841495
191620.884533166,-46.3376733359659
191620.985066678,-46.6386662775299
191621.085600296,-46.9179936425906
191621.186134019,-47.2104904584015
191621.286667848,-47.5175864799636
191621.387201782,-47.8331427317963
191621.487735822,-48.1385947194991
191621.588269967,-48.4587243731688
191621.688804217,-48.810225598612
191621.789338574,-49.120333806918
191621.889873035,-49.4741681148024
191621.990407602,-49.8284636666272
191622.090942275,-50.1346994486156
191622.191477053,-50.4466235581772
191622.292011937,-50.778962415137
191622.392546926,-51.0965327081115
191622.493082021,-51.356085257297
191622.593617221,-51.665045377857
191622.694152526,-51.8950875639987
191622.794687937,-52.1327080963349
191622.895223454,-52.3807624026836
191622.995759076,-52.5522910199012
191623.096294804,-52.677728113807
191623.196830637,-52.8140817194781
191623.297366575,-52.8786936797301
191623.397902619,-52.9233512424489
191623.498438769,-52.9546988729079
191623.598975024,-52.9176492345315
191623.699511384,-52.8383122047325
191623.80004785,-52.792711537178
191623.900584422,-52.6763127926311
191624.001121099,-52.5171380110236
191624.101657881,-52.350363741568
191624.202194769,-52.147454837103
191624.302731763,-51.9364586035054
191624.403268862,-51.7073728269419
191624.503806066,-51.4630674012963
191624.604343376,-51.1683485752669
191624.704880792,-50.9111647491761
191624.805418313,-50.6292415411262
191624.905955939,-50.3349271292101
191625.006493671,-50.0776911775307
191625.107031509,-49.7904706233082
191625.207569452,-49.5094181221402
191625.3081075,-49.2202566755141
191625.408645654,-48.9757938023839
191625.509183913,-48.6713840748602
191625.609722278,-48.4111981532364
191625.710260749,-48.1457713838986
191625.810799325,-47.8840402525713
191625.911338006,-47.6381911232853
191626.011876793,-47.4083416442776
191626.112415685,-47.168129437122
191626.212954683,-46.9213146685688
191626.313493787,-46.7074682459704
191626.414032996,-46.470064406583
191626.51457231,-46.267981832468
191626.61511173,-46.0517694740902
191626.715651255,-45.8393138777204
191626.816190886,-45.6164941344968
191626.916730623,-45.4007341520183
191627.017270465,-45.2089992256399
191627.117810412,-44.9866393308736
191627.218350465,-44.8066738994796
191627.318890623,-44.6149293992452
191627.419430887,-44.4439045713421
191627.519971257,-44.2634664930731
191627.620511732,-44.0966806440537
191627.721052312,-43.9096415265048
191627.821592998,-43.734845256242
191627.922133789,-43.579834452748
191628.022674686,-43.4215268070841
191628.123215689,-43.2716912307151
191628.223756797,-43.1166843132394
191628.32429801,-42.9663766296517
191628.424839329,-42.8132521920568
191628.525380753,-42.6813181738067
191628.625922283,-42.5446804491739
191628.726463919,-42.4334817432825
191628.82700566,-42.2958965122587
191628.927547506,-42.1724547733733
191629.028089458,-42.0570125402013
191629.128631515,-41.9373391809519
191629.229173678,-41.8176565237746
191629.329715947,-41.6989207628188
191629.430258321,-41.5858363089115
191629.5308008,-41.47652599356
191629.631343385,-41.3723921594032
191629.731886075,-41.2682592371958
191629.832428871,-41.1579979013322
191629.932971773,-41.0609322859348
191630.03351478,-40.9469119571443
191630.134057892,-40.8592622561311
191630.23460111,-40.7664328706161
191630.335144434,-40.6731295345963
191630.435687863,-40.5638074873877
191630.536231397,-40.4865309480668
191630.636775037,-40.400296293338
191630.737318783,-40.3070008495103
191630.837862634,-40.2179385497345
191630.93840659,-40.1387790096578
191631.038950652,-40.0549059507948
191631.13949482,-39.97291255867
191631.240039093,-39.8984646981515
191631.340583471,-39.8108151909375
191631.441127955,-39.7401392900905
191631.541672545,-39.6779351226867
191631.64221724,-39.5959523387713
191631.742762041,-39.5403487818057
191631.843306947,-39.4720222894842
191631.943851958,-39.4074754848782
191632.044397075,-39.3584687748555
191632.144942298,-39.2986277418306
191632.245487626,-39.2279385466074
191632.34603306,-39.165270039631
191632.446578599,-39.1129582795027
191632.547124243,-39.0639525452671
191632.647669993,-39.0050486006201
191632.748215849,-38.9640485266769
191632.84876181,-38.9192824064463
191632.949307877,-38.8754549317782
191633.049854049,-38.8306912500866
191633.150400327,-38.7826226940831
191633.25094671,-38.7355053290654
191633.351493199,-38.7001597517471
191633.452039793,-38.6643466927023
191633.552586493,-38.6308897363333
191633.653133298,-38.6026162374205
191633.753680209,-38.5625646006082
191633.854227225,-38.5342910695526
191633.954774347,-38.5046126309241
191634.055321574,-38.4706843598635
191634.155868907,-38.4386422303712
191634.256416345,-38.4089574720849
191634.356963889,-38.3792676807574
191634.457511538,-38.3401583531397
191634.558059293,-38.3099973022409
191634.658607153,-38.2793725380112
191634.759155119,-38.2614608698474
191634.85970319,-38.2369582808057
191634.960251367,-38.2110344699872
191635.06079965,-38.1879430371782
191635.161348038,-38.1573119418871
191635.261896531,-38.1290344661407
191635.36244513,-38.1002920233554
191635.462993834,-38.07908044906
191635.563542644,-38.0531691241802
191635.66409156,-38.0333724777451
191635.764640581,-38.0187630770351
191635.865189707,-38.0040794142093
191635.965738939,-37.990346683985
191636.066288277,-37.9794567206889
191636.16683772,-37.9728227547649
191636.267387268,-37.9628774510635
191636.367936922,-37.9505667254276
191636.468486682,-37.9368339845828
191636.569036547,-37.9221427758632
191636.669586518,-37.9145704152471
191636.770136594,-37.8998904946315
191636.870686776,-37.898467226056
191636.971237063,-37.8946797898176
191637.071787455,-37.8875734841554
191637.172337954,-37.8714727983042
191637.272888557,-37.8615212064344
191637.373439266,-37.8563130083016
191637.473990081,-37.8421016433001
191637.574541001,-37.8293110359508
191637.675092027,-37.8103713248237
191637.775643159,-37.793790760697
191637.876194395,-37.7739038658539
191637.976745738,-37.7559025314603
191638.077297185,-37.7398018160778
191638.177848739,-37.7199086326569
191638.278400398,-37.7033343217201
191638.378952162,-37.682976324004
191638.479504032,-37.6663932214223
191638.580056007,-37.650768584002
191638.680608088,-37.6214036138846
191638.781160275,-37.5906279053368
191638.881712567,-37.5735774676835
191638.982264964,-37.5503741387777
191639.082817467,-37.526698468828
191639.183370076,-37.5077498971213
191639.28392279,-37.485496235859
191639.38447561,-37.4603897403844
191639.485028535,-37.4376599667199
191639.585581565,-37.4163421713945
191639.686134701,-37.3940847197735
191639.786687943,-37.3689769402475
191639.88724129,-37.3524025532976
191639.987794743,-37.3268299540788
191640.088348301,-37.3003064021653
191640.188901965,-37.2832596655972
191640.289455734,-37.2609971579221
191640.390009609,-37.2486888269964
191640.490563589,-37.2373163822372
191640.591117675,-37.216479652958
191640.691671867,-37.2074776666118
191640.792226163,-37.1904309106977
191640.892780566,-37.1771778971168
191640.993335074,-37.1620217343528
191641.093889687,-37.1525536797734
191641.194444406,-37.1407126498743
191641.294999231,-37.1279294551701
191641.395554161,-37.1113537646545
191641.496109196,-37.0995177480234
191641.596664337,-37.0824697153501
191641.697219584,-37.0715733489277
191641.797774936,-37.0621040294098
191641.898330394,-37.0431553490681
191641.998885957,-37.018056246222
191642.099441625,-37.0038422195226
191642.1999974,-36.9830029230352
191642.300553279,-36.9654775108961
191642.401109265,-36.9427425819458
191642.501665355,-36.9242775059529
191642.602221552,-36.9067495725343
191642.702777854,-36.8835510742014
191642.803334261,-36.8608186337237
191642.903890774,-36.8371390020788
191643.004447392,-36.8158273282639
191643.105004116,-36.7926237872617
191643.205560946,-36.7798405416133
191643.306117881,-36.7613704129311
191643.406674921,-36.7419618775445
191643.507232067,-36.725382350037
191643.607789319,-36.700760515435
191643.708346676,-36.6870237961855
191643.808904138,-36.6595591350191
191643.909461707,-36.640141794898
191644.01001938,-36.6197760083743
191644.110577159,-36.598465539172
191644.211135044,-36.5851998894195
191644.311693034,-36.5601056787717
191644.41225113,-36.5492067397668
191644.512809331,-36.5354737628233
191644.613367638,-36.5236301419953
191644.713926051,-36.5103695009905
191644.814484569,-36.5008963586633
191644.915043192,-36.4900036868544
191645.015601921,-36.4814827506574
191645.116160755,-36.476266937191
191645.216719695,-36.4710674355473
191645.317278741,-36.4758008713369
191645.417837892,-36.4772241644419
191645.518397149,-36.485752629667
191645.618956511,-36.4881180924642
191645.719515978,-36.4914432918124
191645.820075552,-36.5042265767185
191645.92063523,-36.5047051901757
191646.021195015,-36.516071454677
191646.121754904,-36.5208111621219
191646.2223149,-36.5317050852407
191646.322875001,-36.5359674333949
191646.423435207,-36.5407046303326
191646.523995519,-36.5553797757588
191646.624555936,-36.5572766618049
191646.725116459,-36.5615314802204
191646.825677088,-36.5639007054741
191646.926237822,-36.5624736493404
191647.026798661,-36.5601094431319
191647.127359606,-36.5582138119042
191647.227920657,-36.5567967938449
191647.328481813,-36.5534816349024
191647.429043075,-36.5563156710939
191647.529604442,-36.5473236560852
191647.630165915,-36.544480836235
